dims,sites,replicas,elapsed_seconds,total_events,events_per_second,replay_verified
4x4x6,768,32,0.36566977800248424,9174,25088.209504526443,true
6x6x9,2592,32,0.366810848001478,30865,84144.18539736218,true
8x8x12,6144,32,0.4681948619981995,73536,157062.8086052828,true
12x12x18,20736,32,0.8672763180002221,248955,287053.8429713427,true
16x16x24,49152,32,1.7296337970001332,591474,341964.8720011421,true
24x24x36,165888,32,7.2063823789976595,1995262,276874.28935425467,true
36x36x54,559872,32,138.42011034700045,6740495,48695.92274635884,true
