2.608591,25.365599
7.581091,25.365599
10.114038,29.890402
12.527353,34.294529
12.585310,37.328838
15.134633,41.500675
17.473616,43.223457
22.472353,34.294529
20.107134,41.500675
22.530310,37.328838
25.031536,29.890402
27.529047,28.399908
32.443588,25.365599
37.416088,25.365599
39.975273,20.961472
45.022106,23.642815
47.361088,25.365599
52.333588,25.365599
54.866535,29.890402
59.839035,29.890402
62.336544,28.399908
67.309044,28.399908
69.784035,29.890402
72.281548,28.399908
77.169853,34.294529
77.254044,28.399908
82.200310,37.328838
87.172806,37.328838
89.647797,38.819332
92.145309,37.328838
94.720871,32.571747
99.693367,32.571747
104.665871,32.571747
109.638367,32.571747
111.977348,34.294529
114.610870,32.571747
116.949852,34.294529
119.583366,32.571747
124.481537,29.890402
126.894852,34.294529
131.925308,37.328838
136.839844,34.294529
139.473373,32.571747
141.896545,28.399908
141.870300,37.328838
146.869049,28.399908
149.418365,32.571747
151.815308,37.328838
156.729843,34.294529
161.760300,37.328838
164.309631,41.500675
169.207794,38.819332
174.180298,38.819332
181.592346,34.294529
179.152802,38.819332
179.227127,41.500675
184.151535,29.890402
189.124039,29.890402
191.621536,28.399908
196.536087,25.365599
201.508591,25.365599
199.143372,32.571747
204.041534,29.890402
204.115860,32.571747
209.088364,32.571747
211.485306,37.328838
214.034622,41.500675
221.372345,34.294529
218.932800,38.819332
219.007126,41.500675
226.371078,25.365599
223.931534,29.890402
224.005859,32.571747
231.401535,28.399908
233.876526,29.890402
238.923370,32.571747
241.262344,34.294529
246.292801,37.328838
251.207352,34.294529
253.840866,32.571747
258.813354,32.571747
261.236542,28.399908
266.151093,25.365599
268.710266,20.961472
273.682770,20.961472
278.729614,23.642815
281.068573,25.365599
283.702087,23.642815
288.600281,20.961472
293.572754,20.961472
298.545258,20.961472
303.592102,23.642815
308.564606,23.642815
313.537109,23.642815
315.876068,25.365599
320.906525,28.399908
323.455872,32.571747
325.794830,34.294529
328.428375,32.571747
333.326538,29.890402
338.299042,29.890402
343.271515,29.890402
345.658600,43.223457
348.318359,32.571747
350.657349,34.294529
348.292114,41.500675
350.631104,43.223457
355.687805,37.328838
360.602356,34.294529
358.162781,38.819332
365.574829,34.294529
370.547333,34.294529
375.604034,28.399908
375.577789,37.328838
380.518585,25.365599
378.153351,32.571747
380.492340,34.294529
383.152100,23.642815
383.051514,29.890402
388.124603,23.642815
390.521545,28.399908
393.022766,20.961472
397.995270,20.961472
400.408569,25.365599
402.967773,20.961472
405.381073,25.365599
410.411530,28.399908
415.326080,25.365599
420.356537,28.399908
425.329041,28.399908
427.804016,29.890402
432.776520,29.890402
435.189850,34.294529
435.247803,37.328838
440.162354,34.294529
437.722778,38.819332
437.797119,41.500675
442.721527,29.890402
447.768372,32.571747
450.165283,37.328838
452.714630,41.500675
457.687134,41.500675
460.026093,43.223457
465.056549,46.257771
469.997345,34.294529
467.632111,41.500675
470.055298,37.328838
472.556519,29.890402
474.969849,34.294529
475.001556,46.257771
479.916107,43.223457
480.000305,37.328838
479.974060,46.257771
484.888611,43.223457
489.887329,34.294529
489.971527,28.399908
487.447784,38.819332
494.886078,25.365599
