temperature_c,condition,dims,sites,replicas,sqrt_time_min_half,time_s,ar40_fraction_n,ar40_fraction_mean,ar40_fraction_ci95_low,ar40_fraction_ci95_high,ar40_da2_per_s_n,ar40_da2_per_s_mean,ar40_da2_per_s_ci95_low,ar40_da2_per_s_ci95_high,ar36_fraction_n,ar36_fraction_mean,ar36_fraction_ci95_low,ar36_fraction_ci95_high,ar36_da2_per_s_n,ar36_da2_per_s_mean,ar36_da2_per_s_ci95_low,ar36_da2_per_s_ci95_high,ar36_ar40_da2_ratio_n,ar36_ar40_da2_ratio_mean,ar36_ar40_da2_ratio_ci95_low,ar36_ar40_da2_ratio_ci95_high,xe_fraction_n,xe_fraction_mean,xe_fraction_ci95_low,xe_fraction_ci95_high,xe_da2_per_s_n,xe_da2_per_s_mean,xe_da2_per_s_ci95_low,xe_da2_per_s_ci95_high
500,vacuum,4x4x6,768,8,2,240.0,8,0.010416666666666666,0.0,0.03125,8,7.345964820421442e-07,0.0,2.2037894461264324e-06,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.0,0.0,0.0,8,0.0,0.0,0.0
500,vacuum,4x4x6,768,8,4,960.0,8,0.049107142857142856,0.010416666666666666,0.08482142857142856,8,1.2279940780152164e-06,2.4486549401404805e-07,2.7045202579894567e-06,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,,,,8,0.04014514896867838,0.011363636363636364,0.06871657754010696,8,9.472058500743068e-07,2.415183575768602e-07,1.7156496498075436e-06
500,vacuum,4x4x6,768,8,6,2160.0,8,0.10119047619047619,0.02827380952380952,0.1919642857142857,8,3.7762945623826464e-06,0.0,8.771430738284909e-06,7,0.09523809523809523,0.0,0.2380952380952381,7,8.203327035281047e-06,0.0,2.321718279516246e-05,1,0.24397703664714662,0.24397703664714662,0.24397703664714662,8,0.13986822001527882,0.05357142857142857,0.22590718105423988,8,5.887925927781598e-06,1.9897172809035912e-06,1.0358857208865246e-05
500,vacuum,4x4x6,768,8,8,3840.0,8,0.16294642857142858,0.08258928571428571,0.2418154761904762,8,1.9245289202792984e-06,3.3030711751026294e-07,3.9994627293048135e-06,7,0.2380952380952381,0.023809523809523808,0.5238095238095238,6,6.255773233283923e-06,0.0,1.8767319699851768e-05,1,14.828864271729822,14.828864271729822,14.828864271729822,8,0.21326632925897632,0.1367694805194805,0.2742647058823529,8,2.8228071659291083e-06,4.807128622378806e-07,5.56957143985842e-06
500,vacuum,4x4x6,768,8,10,6000.0,8,0.22663690476190476,0.15,0.29315476190476186,8,2.43252299690184e-06,0.0,4.876812880175752e-06,7,0.34523809523809523,0.13095238095238096,0.5952380952380952,6,5.921635307991158e-06,0.0,1.5652838115321704e-05,1,7.3725403328404,7.3725403328404,7.3725403328404,8,0.26010790679908324,0.16911764705882354,0.336368411000764,8,2.9991451246984045e-06,8.24210769406132e-07,5.191529047739667e-06
500,vacuum,4x4x6,768,8,15,13500.0,8,0.25163690476190476,0.15997023809523808,0.32767857142857143,8,4.897005595001622e-07,0.0,1.4691016785004868e-06,7,0.34523809523809523,0.11904761904761904,0.6071428571428571,6,0.0,0.0,0.0,0,,,,8,0.30718582887700535,0.1959033613445378,0.4000429717341482,8,1.201356183342492e-06,3.3166588194189576e-07,2.402712366684984e-06
500,vacuum,4x4x6,768,8,20,24000.0,8,0.26205357142857144,0.17038690476190477,0.33214285714285713,8,1.392961844022417e-07,0.0,4.178885532067251e-07,7,0.34523809523809523,0.13095238095238096,0.630952380952381,6,0.0,0.0,0.0,0,,,,8,0.3161144003055768,0.2017857142857143,0.4193181818181818,8,2.234706494584139e-07,0.0,6.704119483752416e-07
500,vacuum,4x4x6,768,8,30,54000.0,8,0.29330357142857144,0.20163690476190477,0.35446428571428573,8,1.2350081144024047e-07,0.0,3.7050243432072143e-07,7,0.34523809523809523,0.13095238095238096,0.5952380952380952,6,0.0,0.0,0.0,0,,,,8,0.3161144003055768,0.19022154316271964,0.41846829640947286,8,0.0,0.0,0.0
500,vacuum,4x4x6,768,8,40,96000.0,8,0.31413690476190476,0.26413690476190477,0.35446428571428573,8,1.7409978883508484e-08,0.0,5.222993665052545e-08,7,0.34523809523809523,0.13095238095238096,0.6071428571428571,6,0.0,0.0,0.0,0,,,,8,0.3161144003055768,0.20036764705882354,0.41846829640947286,8,0.0,0.0,0.0
500,vacuum,4x4x6,768,8,50,150000.0,8,0.33497023809523807,0.2700892857142857,0.38571428571428573,8,7.489752758781039e-08,0.0,1.4979505517562078e-07,7,0.34523809523809523,0.13095238095238096,0.6071428571428571,6,0.0,0.0,0.0,0,,,,8,0.3161144003055768,0.19521103896103895,0.4148538961038961,8,0.0,0.0,0.0
