fraction,released,time_s,sqrt_time_sqrt_s,cylinder_tau,apparent_da2_per_s
0.02,17,111.4400278,10.55651589303971,7.916278991075432e-05,7.103622591769878e-07
0.04,34,269.8327473,16.426586599169042,0.00031919314447614595,1.515412800052288e-06
0.06,50,574.824186,23.975491360971105,0.0007240206083149194,1.3273404183550722e-06
0.08,67,1084.522385,32.932087467999956,0.0012980346116818163,1.1261840918666794e-06
0.1,84,1808.578387,42.52738396609883,0.0020453568956542772,1.0321332630462206e-06
0.12,100,4576.558204,67.65026388714237,0.002970683139551695,3.342966007968611e-07
0.14,117,14437.82028,120.15748116534401,0.004078862556072723,1.1237703733866658e-07
0.16,133,33329.69063,182.56420960856482,0.005375008956902924,6.860868600181773e-08
0.18,150,115082.5909,339.23825093877605,0.0068645228717737344,1.821970731254169e-08
0.2,167,221429.9515,470.5634404626012,0.008553116204819414,1.587809348082382e-08
0.22,183,328969.8205,573.5589076110665,0.010446839804497957,1.760950257135373e-08
0.24,200,486222.1026,697.2962803572094,0.012552114392889061,1.3387879401663091e-08
0.26,217,806335.9939,897.9621338898428,0.014875765385378114,7.2588258605478785e-09
0.28,233,1104281.458,1050.8479709263372,0.017425062236804907,8.556253269796941e-09
0.3,250,1635926.885,1279.0335746179612,0.020207763080680688,5.2341291818838146e-09
0.32,266,1866710.285,1366.2760647102034,0.023232165591512775,1.31049395703161e-08
0.34,283,2296054.176,1515.2736307347263,0.026507165206712174,7.627917116909435e-09
0.36,300,2878842.994,1696.7153544422235,0.03004232210784115,6.065931246348956e-09
0.38,316,3097593.691,1759.998207669542,0.03384793870042764,1.7397048991283848e-08
0.4,333,3445866.269,1856.3044655982487,0.03793514977482915,1.173566721179383e-08
0.42,350,3987996.148,1996.9967821706673,0.04231602811826847,8.080864960846997e-09
0.44,366,4487429.956,2118.3554838600626,0.04700370914246545,9.38599059396671e-09
0.46,383,4866711.217,2206.0623783111846,0.05201253919217809,1.3206109989474654e-08
0.48,399,5357614.508,2314.652135419057,0.05735825376941078,1.0889547239219245e-08
0.5,416,6011150.739,2451.7648213072966,0.06305819419150194,8.721690017658955e-09
0.52,433,6447150.779,2539.124018042443,0.06913157451545318,1.3929770107248714e-08
0.54,449,7030172.396,2651.4472267046913,0.07559981522029546,1.109434112945127e-08
0.56,466,7520541.288,2742.3605320963907,0.0824869663489064,1.4044836940045812e-08
0.58,482,8049250.511,2837.120108666533,0.08982025062561746,1.387016522068703e-08
0.6,499,8757377.679,2959.286684152112,0.09763076653674871,1.1029821004030803e-08
0.62,516,9632511.232,3103.6287200630168,0.10595440290323216,9.511275550971177e-09
0.64,532,10437284.16,3230.6785912560226,0.11483303139051293,1.1032464162711967e-08
0.66,549,11312827.38,3363.454679343844,0.12431606445450899,1.0831027923437124e-08
0.68,566,12848689.62,3584.506886588447,0.134462498262731,6.606343683677001e-09
0.7,582,14826674.39,3850.5420904075313,0.14534361099390564,5.501110471732621e-09
0.72,599,18963724.75,4354.735898995484,0.15704656916549675,2.8288169476358798e-09
0.74,615,22872418.49,4782.511734434114,0.1696793291607911,3.231964649984152e-09
