fraction,released,time_s,sqrt_time_sqrt_s,cylinder_tau,apparent_da2_per_s
0.02,17,0.5678383007,0.7535504632736948,7.916278991075432e-05,0.00013941079672358622
0.04,34,0.9272343719,0.9629300970994727,0.00031919314447614595,0.0006678713925946545
0.06,50,1.231968626,1.1099408209449728,0.0007240206083149194,0.0013284606452739882
0.08,67,1.800717933,1.3419083176581028,0.0012980346116818163,0.0010092566202755775
0.1,84,2.426199576,1.5576262632608633,0.0020453568956542772,0.0011947949109874369
0.12,100,2.916113931,1.7076632955591684,0.002970683139551695,0.0018887510326114408
0.14,117,4.397900411,2.097117166731511,0.004078862556072723,0.0007478671397521649
0.16,133,8.344947884,2.888762344672888,0.005375008956902924,0.00032838378805843173
0.18,150,18.31356702,4.27943536228788,0.0068645228717737344,0.00014942028525211483
0.2,167,29.0861922,5.393161614489222,0.008553116204819414,0.00015674854595151524
0.22,183,43.29953418,6.580238155264595,0.010446839804497957,0.00013323563186921523
0.24,200,79.86480776,8.936711238481413,0.012552114392889061,5.757579206361031e-05
0.26,217,104.7891624,10.236657774879456,0.014875765385378114,9.322813071997974e-05
0.28,233,154.0677487,12.412403018755072,0.017425062236804907,5.1732345483839344e-05
0.3,250,178.9074296,13.375628194593329,0.020207763080680688,0.00011202643283053534
0.32,266,212.3313776,14.571594888686688,0.023232165591512775,9.048609430675537e-05
0.34,283,244.0564224,15.622305284432256,0.026507165206712174,0.0001032307325598922
0.36,300,270.4176194,16.44437956871587,0.03004232210784115,0.00013410456669054056
0.38,316,298.9568583,17.29036894632385,0.03384793870042764,0.0001333468143954773
0.4,333,323.2737332,17.979814604160968,0.03793514977482915,0.00016808126419244412
0.42,350,363.1325559,19.05603725594595,0.04231602811826847,0.00010990987808175582
0.44,366,401.5954699,20.03984705280956,0.04700370914246545,0.0001218753478791798
0.46,383,440.2261153,20.9815660831121,0.05201253919217809,0.00012965949695763155
0.48,399,496.4410773,22.280957728517865,0.05735825376941078,9.509415975826315e-05
0.5,416,524.2646979,22.89682724527571,0.06305819419150194,0.00020485976660029501
0.52,433,603.0295537,24.556660068095578,0.06913157451545318,7.710774383149758e-05
0.54,449,674.8317486,25.977523912028257,0.07559981522029546,9.008416405446514e-05
0.56,466,766.6340058,27.688156417500966,0.0824869663489064,7.502158812507865e-05
0.58,482,826.6951202,28.75230634575251,0.08982025062561746,0.00012209703982300833
0.6,499,915.1663753,30.251716898384462,0.09763076653674871,8.828309152281082e-05
0.62,516,1016.285353,31.879230746678942,0.10595440290323216,8.231527410391781e-05
0.64,532,1108.706237,33.297240681473895,0.11483303139051293,9.606734001030286e-05
0.66,549,1250.069704,35.35632480900694,0.12431606445450899,6.708262937549534e-05
0.68,566,1369.840492,37.01135625723543,0.134462498262731,8.471543001138138e-05
0.7,582,1556.094847,39.44736806176047,0.14534361099390564,5.842071575279217e-05
0.72,599,1911.523861,43.72097735641325,0.15704656916549675,3.292628826185563e-05
0.74,615,2479.391601,49.793489544316934,0.1696793291607911,2.2245954657143127e-05
