potential_mu_kcal_mol,replica,seed,induction_time_s,censored_at_s
0.30,29,6080612373390493676,80.455914594,
0.30,30,7285233852844147061,341.540930235,
0.30,31,4284981539987200484,350.588608055,
0.55,0,11586010233531586918,198.895813934,
0.55,1,7435275229452103958,232.974868324,
0.55,2,17377466536114428149,124.108189758,
0.55,3,6199957159904866235,171.188062087,
0.55,4,12032831652220777203,105.062596041,
0.55,5,12824817159816449082,184.887042182,
0.55,6,13127086010505558010,88.396705858,
0.55,7,8614443013277031389,117.573256014,
0.55,8,3349677325774699018,358.735410748,
0.55,9,6739777678050942568,169.688266814,
0.55,10,13292573669742727768,108.315149626,
0.55,11,8344065747443815322,244.398874754,
0.55,12,7490701265514071955,89.031520366,
0.55,13,8195868551367103870,93.748166705,
0.55,14,143160498584173569,149.614024649,
0.55,15,13991331147305667756,136.935801132,
0.55,16,8852702049133514447,214.958897156,
0.55,17,9212052921636300388,118.612212258,
0.55,18,402961943671700872,97.740647640,
0.55,19,6986561947402773466,454.516346286,
0.55,20,16005634800982363428,77.268415016,
0.55,21,3103801612665070996,207.799703802,
0.55,22,3967502247431635178,196.259250739,
0.55,23,4878733458379586603,373.411350004,
0.55,24,6374048190185089496,115.926397469,
0.55,25,13912929966655383479,97.512485435,
0.55,26,16086834953004871649,241.829230309,
0.55,27,2478123085070656810,116.840332596,
0.55,28,14635557844392384166,138.656702753,
0.55,29,6080612373390493676,111.344918463,
0.55,30,7285233852844147061,131.852728593,
0.55,31,4284981539987200484,270.402898313,
0.80,0,11586010233531586918,110.536970886,
0.80,1,7435275229452103958,55.697150105,
0.80,2,17377466536114428149,138.189179439,
0.80,3,6199957159904866235,75.477567680,
0.80,4,12032831652220777203,68.567435161,
0.80,5,12824817159816449082,68.480649982,
0.80,6,13127086010505558010,53.107890963,
0.80,7,8614443013277031389,75.646603110,
0.80,8,3349677325774699018,103.170069769,
0.80,9,6739777678050942568,70.930889776,
0.80,10,13292573669742727768,106.272163127,
0.80,11,8344065747443815322,82.860928840,
0.80,12,7490701265514071955,74.158904293,
0.80,13,8195868551367103870,98.426216326,
0.80,14,143160498584173569,63.760779074,
0.80,15,13991331147305667756,115.472843442,
0.80,16,8852702049133514447,51.163582830,
0.80,17,9212052921636300388,107.596184337,
0.80,18,402961943671700872,56.055236913,
0.80,19,6986561947402773466,88.880860733,
0.80,20,16005634800982363428,72.328911942,
0.80,21,3103801612665070996,62.009968484,
0.80,22,3967502247431635178,61.343669901,
0.80,23,4878733458379586603,73.982554193,
0.80,24,6374048190185089496,75.348562656,
0.80,25,13912929966655383479,96.380972219,
0.80,26,16086834953004871649,91.995621339,
0.80,27,2478123085070656810,63.128176649,
0.80,28,14635557844392384166,86.011595637,
0.80,29,6080612373390493676,119.401914926,
0.80,30,7285233852844147061,97.977926860,
0.80,31,4284981539987200484,46.160625330,
