defect_density,step,replicas,time_mean,time_ci95_low,time_ci95_high,defects_mean,defects_ci95_low,defects_ci95_high,total_rate_mean,total_rate_ci95_low,total_rate_ci95_high,rate_log10_mean_mean,rate_log10_mean_ci95_low,rate_log10_mean_ci95_high,rate_log10_width_mean,rate_log10_width_ci95_low,rate_log10_width_ci95_high,exposure_age_mean_mean,exposure_age_mean_ci95_low,exposure_age_mean_ci95_high,exposure_age_p95_mean,exposure_age_p95_ci95_low,exposure_age_p95_ci95_high,geometric_area_mean,geometric_area_ci95_low,geometric_area_ci95_high,bet_proxy_mean,bet_proxy_ci95_low,bet_proxy_ci95_high
0.05,100,64,96.82010381765625,92.19871246671875,101.7248439315625,0.0,0.0,0.0,1.75625,1.72171875,1.7884375,-2.0,-2.0,-2.0,0.0,0.0,0.0,78.38845495992499,74.77228938117321,82.55942663177805,96.82010381765625,92.295809675,101.7970494984375,6556.52615625,6540.6995625,6571.6333593750005,338.40625,335.703125,341.203125
0.05,110,64,102.26807819375,97.30976362703124,107.5377252059375,0.0,0.0,0.0,1.85,1.81625,1.8865625,-2.0,-2.0,-2.0,0.0,0.0,0.0,81.80264558724897,77.72727238351854,86.04062256887748,102.26807819375,97.3934194925,107.1221596425,6536.38321875,6518.398453125,6552.2098125,339.390625,336.375,342.46875
0.05,120,64,107.48302319375,102.71545669375,112.5698468746875,0.0,0.0,0.0,1.935625,1.89765625,1.9721875,-2.0,-2.0,-2.0,0.0,0.0,0.0,84.92948322631638,81.21179121647788,89.06221662019327,107.48302319375,102.55157222015625,112.85516653859375,6511.9239375,6493.21978125,6531.347484375,339.796875,336.828125,342.921875
0.05,130,64,112.1605719803125,106.966172075,117.18118952484375,0.0,0.0,0.0,2.01015625,1.9728124999999999,2.0475,-2.0,-2.0,-2.0,0.0,0.0,0.0,87.64655604030767,83.52908141107763,91.80464550844117,112.1605719803125,107.31919426859375,117.29614329453125,6491.781,6471.6380625,6511.204546875,339.40625,336.171875,342.546875
0.05,140,64,117.5479641215625,112.464972683125,122.85237131640625,0.0,0.0,0.0,2.0796875,2.038125,2.12171875,-2.0,-2.0,-2.0,0.0,0.0,0.0,91.21770265708321,86.90680650931212,95.58603390888037,117.5479641215625,112.24094264890626,122.92431493765625,6466.602328125,6445.020609375,6486.745265625,337.953125,334.65625,341.109375
0.05,150,64,122.383397121875,117.09610545765625,128.028114216875,0.0,0.0,0.0,2.13859375,2.09484375,2.18109375,-2.0,-2.0,-2.0,0.0,0.0,0.0,94.29582666819823,90.24519951220367,98.47927896899289,122.383397121875,116.92608618625,127.9885447625,6443.581828125,6421.28071875,6466.602328125,336.203125,333.015625,339.65625
0.05,160,64,126.99844152078126,121.625346199375,132.72217382734374,0.0,0.0,0.0,2.19015625,2.148125,2.23078125,-2.0,-2.0,-2.0,0.0,0.0,0.0,97.15158235239359,92.87560945910475,101.42739860881068,126.99844152078126,121.68788055359374,132.6015234453125,6407.612296875,6380.99484375,6433.510359375,333.640625,330.375,337.0
0.05,170,64,131.197549778125,125.75524034765625,136.90001530421875,0.0,0.0,0.0,2.2334375,2.191875,2.27296875,-2.0,-2.0,-2.0,0.0,0.0,0.0,99.62041814425511,95.40471566111461,104.01109689769262,131.197549778125,125.818318958125,136.9602902396875,6379.5560625,6355.09678125,6405.454125,331.359375,328.25,334.359375
0.05,180,64,135.7321249384375,130.006810784375,141.61733793453126,0.0,0.0,0.0,2.2746875,2.23265625,2.3165625,-2.0,-2.0,-2.0,0.0,0.0,0.0,102.57371510834918,98.45425884709917,106.92889846121922,135.7321249384375,130.2691275153125,141.6831140646875,6342.867140625,6315.530296875,6371.642765625,328.34375,325.140625,331.359375
0.05,190,64,140.282614890625,134.67314105515624,146.57208148421876,0.0,0.0,0.0,2.30484375,2.26328125,2.345625,-2.0,-2.0,-2.0,0.0,0.0,0.0,105.61296462873628,101.43425772233306,110.02346170258242,140.282614890625,134.74927112671875,146.3443136359375,6300.42309375,6270.928078125,6330.6375,323.984375,320.75,327.078125
0.05,200,64,144.91739444375,139.420192040625,150.8153616078125,0.0,0.0,0.0,2.34015625,2.2984375,2.3810937500000002,-2.0,-2.0,-2.0,0.0,0.0,0.0,108.53338373517606,104.31846762628979,113.14622093609519,144.91739444375,138.9026526421875,151.2426628453125,6264.4535625,6232.080984375,6295.387359375,320.21875,317.359375,323.296875
0.05,210,64,149.098539925,143.32890164375,155.33087563750001,0.0,0.0,0.0,2.36828125,2.32796875,2.4084375,-2.0,-2.0,-2.0,0.0,0.0,0.0,111.06669610665293,106.69940048856978,115.50623726591944,149.098539925,143.025511865625,155.261605725,6216.254390625,6181.00425,6248.62696875,316.234375,313.421875,319.078125
0.05,220,64,153.2471294484375,147.367568221875,159.1214632171875,0.0,0.0,0.0,2.38328125,2.3415625,2.4246875,-2.0,-2.0,-2.0,0.0,0.0,0.0,113.81040322364149,109.49093203338954,118.33080928245477,153.2471294484375,147.068812984375,159.946332965625,6168.05521875,6128.488734375,6203.305359375,311.453125,308.71875,314.296875
0.05,230,64,157.570944821875,151.36779243750001,163.84264060625,0.0,0.0,0.0,2.386875,2.348125,2.423125,-2.0,-2.0,-2.0,0.0,0.0,0.0,116.81012062545263,112.22003695525382,121.17328854689276,157.570944821875,151.3779138078125,164.0679009703125,6127.049953125,6090.36103125,6161.580703125,305.84375,303.203125,308.359375
0.05,240,64,161.9137755390625,155.6782304875,168.2862011,0.0,0.0,0.0,2.38625,2.3464062500000002,2.4215625,-2.0,-2.0,-2.0,0.0,0.0,0.0,119.76086619274588,115.4742048716212,124.47927794641228,161.9137755390625,155.865773125,168.52048787500001,6068.059921875,6027.05465625,6104.029453125,300.328125,297.78125,302.828125
0.05,250,64,166.2125999109375,159.56820365625,172.658356678125,0.0,0.0,0.0,2.37984375,2.34265625,2.41390625,-2.0,-2.0,-2.0,0.0,0.0,0.0,122.84253875977966,118.39643335792766,127.54698656977591,166.2125999109375,159.6306732328125,172.768588978125,6002.595375,5965.1870625,6040.0036875,294.09375,291.78125,296.5
0.05,260,64,170.5688857703125,164.1664548265625,177.222563953125,0.0,0.0,0.0,2.3728125,2.339375,2.405625,-2.0,-2.0,-2.0,0.0,0.0,0.0,125.80080106030042,121.6649060081428,130.3002066875188,170.5688857703125,164.4138336296875,177.106207990625,5935.692046875,5896.1255625,5973.81975,287.875,285.625,290.0625
0.05,270,64,175.037793484375,168.441129940625,181.7314263015625,0.0,0.0,0.0,2.3634375,2.33171875,2.39453125,-2.0,-2.0,-2.0,0.0,0.0,0.0,128.9380683555932,124.74255603819194,133.32423189508884,175.037793484375,168.9729517515625,181.9548153453125,5873.824453125,5832.8191875,5912.671546875,281.671875,279.546875,283.75
0.05,280,64,179.4301547984375,172.9732872859375,186.2532391296875,0.0,0.0,0.0,2.34828125,2.318125,2.3778125,-2.0,-2.0,-2.0,0.0,0.0,0.0,131.88384773192038,127.79529516176983,136.45330583935623,179.4301547984375,172.9310084671875,186.0915182796875,5806.201734375,5759.44134375,5846.487609375,275.125,273.046875,277.171875
0.05,290,64,183.6723612734375,177.54116455625,190.1270878890625,0.0,0.0,0.0,2.3271875,2.29890625,2.35578125,-2.0,-2.0,-2.0,0.0,0.0,0.0,134.67766444845358,130.70497349685533,138.88762303308687,183.6723612734375,177.045435375,190.20112744375,5738.5790156250005,5695.415578125,5782.46184375,268.21875,266.359375,270.0625
0.05,300,64,187.878535653125,181.3202881890625,194.190750634375,0.0,0.0,0.0,2.290625,2.2621875,2.31796875,-2.0,-2.0,-2.0,0.0,0.0,0.0,137.85772352279756,133.97848752566884,141.9660929737168,187.878535653125,181.461676046875,194.35861295,5660.884828125,5616.282609375,5706.2064375,260.3125,258.53125,262.0
0.05,310,64,192.3108138234375,186.3603609203125,198.9024343375,0.0,0.0,0.0,2.2515625,2.22359375,2.2796875,-2.0,-2.0,-2.0,0.0,0.0,0.0,141.32104614122463,137.44718116116232,145.3024522496836,192.3108138234375,185.7771768375,198.88500584375,5586.068203125,5540.027203125,5629.95103125,252.59375,250.890625,254.21875
0.05,320,64,196.8074085234375,190.68070078125,203.6344318078125,0.0,0.0,0.0,2.20828125,2.18234375,2.2328125,-2.0,-2.0,-2.0,0.0,0.0,0.0,144.80419047197105,141.08033491656866,148.68605477206484,196.8074085234375,190.4166538078125,203.217943228125,5512.690359375,5467.36875,5558.01196875,244.59375,243.015625,246.125
0.05,330,64,201.600826078125,194.9369486984375,208.199248403125,0.0,0.0,0.0,2.1609375,2.13890625,2.18375,-2.0,-2.0,-2.0,0.0,0.0,0.0,148.73197713462957,144.90118783356712,152.49110041548965,201.600826078125,194.8051230109375,208.3358976140625,5431.39921875,5388.2357812499995,5477.44021875,236.59375,235.125,237.921875
0.05,340,64,206.0430659765625,199.4134547578125,213.0088395046875,0.0,0.0,0.0,2.10578125,2.08484375,2.12625,-2.0,-2.0,-2.0,0.0,0.0,0.0,152.26003882708707,148.62691034368905,156.05204519674487,206.0430659765625,199.604863790625,212.649768753125,5356.58259375,5314.1385468749995,5401.904203125,228.078125,226.828125,229.3125
0.05,350,64,210.765469575,204.3332524046875,217.28556391718752,0.0,0.0,0.0,2.04703125,2.02828125,2.064375,-2.0,-2.0,-2.0,0.0,0.0,0.0,156.40701428308822,152.64931114115663,160.21993581313714,210.765469575,204.1712100296875,217.636445075,5261.62303125,5219.178984375,5304.78646875,219.484375,218.28125,220.515625
0.05,360,64,215.5274903421875,208.9726725296875,222.3111303625,0.0,0.0,0.0,1.98484375,1.96734375,2.0009375,-2.0,-2.0,-2.0,0.0,0.0,0.0,160.17613878401568,156.49668905057254,163.92708032071909,215.5274903421875,209.0520570296875,222.3646917921875,5156.592,5114.147953125,5196.877875,210.6875,209.65625,211.671875
0.05,370,64,220.5564748859375,214.0561302828125,227.3122136234375,0.0,0.0,0.0,1.91609375,1.89984375,1.930625,-2.0,-2.0,-2.0,0.0,0.0,0.0,164.50621109284583,161.01137213853434,168.26357371809218,220.5564748859375,213.9090310671875,227.0498444984375,5051.56096875,5006.239359375,5095.443796875,201.671875,200.703125,202.484375
0.05,380,64,226.0753728375,219.799881290625,232.830223678125,0.0,0.0,0.0,1.845,1.83109375,1.8584375,-2.0,-2.0,-2.0,0.0,0.0,0.0,169.2202452170944,165.64738321342173,172.84480793137453,226.0753728375,219.1591464875,233.2924102828125,4940.7748125,4897.6113749999995,4983.93825,192.765625,192.03125,193.40625
0.05,390,64,231.87097908125,225.19875986875,239.0862235859375,0.0,0.0,0.0,1.7665625,1.75296875,1.77921875,-2.0,-2.0,-2.0,0.0,0.0,0.0,174.56801769597365,170.86364504685702,178.42698300827269,231.87097908125,225.1130560171875,238.9506958640625,4815.60084375,4775.31496875,4857.3255,183.578125,182.953125,184.171875
0.05,400,64,237.6503783765625,231.1838086390625,244.62157335625,0.0,0.0,0.0,1.686875,1.6753125,1.69796875,-2.0,-2.0,-2.0,0.0,0.0,0.0,179.8842988896863,176.2366686963597,183.9197227288169,237.6503783765625,230.73402205,244.413863996875,4680.35540625,4636.472578125,4724.238234375,174.296875,173.734375,174.8125
0.05,410,64,243.6442485859375,237.3519725296875,250.8561494203125,0.0,0.0,0.0,1.6028125,1.59390625,1.6115625,-2.0,-2.0,-2.0,0.0,0.0,0.0,185.65198137486718,182.1075785668725,189.59060211283975,243.6442485859375,237.280301296875,250.4936631375,4539.35484375,4497.6301875,4581.798890625,164.78125,164.3125,165.171875
0.05,420,64,250.1625165875,243.59443176875,257.1470702109375,0.0,0.0,0.0,1.5153125,1.50640625,1.5234375,-2.0,-2.0,-2.0,0.0,0.0,0.0,191.54904115359116,187.98194588178305,195.2704004067453,250.1625165875,243.59108099375,257.6057839484375,4394.0379375,4353.7520625,4436.481984375,155.15625,154.78125,155.484375
0.05,430,64,256.8136612359375,250.1844292765625,263.2219900359375,0.0,0.0,0.0,1.42625,1.41828125,1.4337499999999999,-2.0,-2.0,-2.0,0.0,0.0,0.0,197.81053102374477,194.093993718791,201.49669691397878,256.8136612359375,250.34045654843752,263.8694964171875,4235.052609375,4196.92490625,4271.74153125,145.40625,145.03125,145.6875
0.05,440,64,263.90911419375,257.23012405,270.9229564671875,0.0,0.0,0.0,1.33515625,1.32828125,1.34109375,-2.0,-2.0,-2.0,0.0,0.0,0.0,204.71363502803837,200.85517229542512,208.65186045335486,263.90911419375,257.387573821875,270.635229865625,4050.8886093749998,4012.76090625,4089.0163125,135.609375,135.390625,135.78125
0.05,450,64,271.3789534359375,265.169402803125,278.406970840625,0.0,0.0,0.0,1.24359375,1.23890625,1.24796875,-2.0,-2.0,-2.0,0.0,0.0,0.0,211.87782586131019,208.0337385836773,215.7230121237675,271.3789534359375,264.784351959375,278.420037134375,3864.5664375,3822.84178125,3904.8523125,125.8125,125.640625,125.9375
0.05,460,64,280.1040917,273.52271987031247,287.151215303125,0.0,0.0,0.0,1.149375,1.145625,1.15265625,-2.0,-2.0,-2.0,0.0,0.0,0.0,220.081155339069,215.55247320148447,224.54997464755075,280.1040917,273.4842524765625,286.8605589390625,3676.805484375,3635.80021875,3719.24953125,115.859375,115.71875,115.96875
0.05,470,64,289.37371864375,282.661282165625,296.416428978125,0.0,0.0,0.0,1.0523437500000001,1.04953125,1.0550000000000002,-2.0,-2.0,-2.0,0.0,0.0,0.0,229.00971797134198,224.20609245503104,233.52500700822318,289.37371864375,282.43893360625,295.9254663453125,3457.39134375,3418.54425,3499.116,105.9375,105.84375,106.0
0.05,480,64,299.023729446875,292.5645609984375,305.742127328125,0.0,0.0,0.0,0.9551562499999999,0.9529687499999999,0.95703125,-2.0,-2.0,-2.0,0.0,0.0,0.0,238.71589869078375,234.2532610269887,243.56623037813011,299.023729446875,292.0137283640625,305.94608513125,3225.7475625,3186.90046875,3261.71709375,95.9375,95.859375,96.0
0.05,490,64,310.2204752421875,303.457118646875,317.098421896875,0.0,0.0,0.0,0.85734375,0.8557812499999999,0.8585937499999999,-2.0,-2.0,-2.0,0.0,0.0,0.0,249.69440749734866,245.23384588461028,254.22691334647857,310.2204752421875,303.2715662734375,317.060107353125,2981.874140625,2946.624,3017.12428125,86.0,86.0,86.0
0.05,500,64,322.4219654484375,315.646616853125,329.156899609375,0.0,0.0,0.0,0.75859375,0.75734375,0.75953125,-2.0,-2.0,-2.0,0.0,0.0,0.0,262.2867046921957,257.8536155928639,266.83216078149053,322.4219654484375,315.8496014,328.8891476140625,2740.87828125,2707.066921875,2774.689640625,76.0,76.0,76.0
0.05,510,64,336.6760674578125,330.103742959375,343.1868183484375,0.0,0.0,0.0,0.6590625,0.65828125,0.6596875,-2.0,-2.0,-2.0,0.0,0.0,0.0,276.10090538889204,271.8042997150781,280.5454526884588,336.6760674578125,329.93563654375,343.2227804484375,2451.68325,2421.46884375,2481.1782656249998,66.0,66.0,66.0
0.05,520,64,352.59275114375,346.32806319375,359.2418910875,0.0,0.0,0.0,0.5596875,0.5592187500000001,0.56,-2.0,-2.0,-2.0,0.0,0.0,0.0,292.2669464479297,287.68827000581194,296.9194013102176,352.59275114375,345.9988314953125,359.633712840625,2158.891265625,2131.554421875,2185.50871875,56.0,56.0,56.0
0.05,530,64,372.2135977625,365.21140373125,379.0467029640625,0.0,0.0,0.0,0.45984375,0.45953125,0.46,-2.0,-2.0,-2.0,0.0,0.0,0.0,313.6052973870041,308.2852176207982,319.1375655230469,372.2135977625,365.3199757046875,379.0816587140625,1836.604265625,1813.583765625,1858.905375,46.0,46.0,46.0
0.05,540,64,396.1396729296875,389.132253059375,403.099456059375,0.0,0.0,0.0,0.36,0.36,0.36,-2.0,-2.0,-2.0,0.0,0.0,0.0,337.832266591875,332.48389476966145,343.7824476129774,396.1396729296875,389.03310903125,403.2501160046875,1491.296765625,1472.592609375,1510.000921875,36.0,36.0,36.0
0.05,550,64,427.219588309375,419.8845841453125,434.3769370328125,0.0,0.0,0.0,0.26,0.26,0.26,-2.0,-2.0,-2.0,0.0,0.0,0.0,371.57064326616586,365.6276094878005,377.85984828022833,427.219588309375,419.977798425,434.8707340671875,1109.30034375,1095.631921875,1122.249375,26.0,26.0,26.0
0.05,560,64,473.6215344546875,465.7670944921875,482.3973485265625,0.0,0.0,0.0,0.16,0.16,0.16,-2.0,-2.0,-2.0,0.0,0.0,0.0,419.3948679030273,411.9935632641602,427.21855416591796,473.6215344546875,465.8206759171875,481.998679121875,707.880375,698.528296875,715.793671875,16.0,16.0,16.0
0.05,570,64,571.265631778125,558.6952682453125,582.84983741875,0.0,0.0,0.0,0.06,0.06,0.06,-2.0,-2.0,-2.0,0.0,0.0,0.0,512.6348323875,499.35960335885414,525.9758017979167,571.265631778125,560.0337201546874,582.0231398265626,274.80721875,272.649046875,276.246,6.0,6.0,6.0
0.05,576,64,811.39016481875,785.5723956671875,835.0024680296875,0.0,0.0,0.0,0.0,0.0,0.0,-inf,-inf,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0,64,0.0,0.0,0.0,21.640625,20.546875,22.796875,216.40625,205.78125,227.1875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6629.904,6629.904,6629.904,288.0,288.0,288.0
0.15,10,64,0.0643444550753125,0.057287803344375,0.072037235429375,11.65625,10.578125,12.765625,116.96953125,105.25046875,128.37859375,-1.3454729637974516,-1.3986072447053137,-1.2939665324660803,1.2071334924506705,1.1657453484948157,1.2476229181902694,0.06326197679566435,0.05575582406376371,0.07127688532724087,0.0643444550753125,0.0567500265590625,0.07248767550703125,6629.904,6629.904,6629.904,288.046875,288.0,288.140625
0.15,20,64,2.0630389752432814,1.24578316595875,2.974486983976719,2.90625,2.15625,3.6875,29.79828125,21.98578125,37.60234375,-1.889805639131686,-1.9183773662625276,-1.860113678111921,0.4247883415852436,0.3413699069901574,0.5121507256954748,2.018281103713196,1.1776289623874274,2.901975960046455,2.0630389752432814,1.2252495725884376,3.014333501483125,6629.904,6629.904,6629.904,289.359375,288.65625,290.21875
0.15,30,64,9.718289815484376,8.200341992514062,11.357058985501563,0.046875,0.0,0.125,1.43453125,0.96046875,2.2115625,-1.998589015151515,-2.0,-1.9962405303030304,0.011249760860138099,0.0,0.030937260860138097,9.335548116919334,7.779127244301019,11.019988765087971,9.718289815484376,8.165183096085938,11.544869875275,6629.904,6629.904,6629.904,295.625,294.21875,297.234375
0.15,40,64,18.976887482953124,17.103075150875,20.850700747328126,0.0,0.0,0.0,1.14828125,1.1303125,1.165,-2.0,-2.0,-2.0,0.0,0.0,0.0,17.751482360922207,16.052123902678748,19.591688048770347,18.976887482953124,17.080350921015626,20.901024670734376,6629.184609375,6627.745828125,6629.904,304.9375,303.25,306.71875
0.15,50,64,27.021506896265624,25.057103601140625,29.27173475609375,0.0,0.0,0.0,1.31046875,1.2934375,1.3275000000000001,-2.0,-2.0,-2.0,0.0,0.0,0.0,24.568309332609296,22.651660729615887,26.505771275199596,27.021506896265624,24.897033145828125,29.250886390625,6628.4652187500005,6626.307046875,6629.904,313.9375,312.03125,315.921875
0.15,60,64,34.2124269434375,31.9819519296875,36.4190086684375,0.0,0.0,0.0,1.44515625,1.42828125,1.46109375,-2.0,-2.0,-2.0,0.0,0.0,0.0,30.377388213679932,28.553369262799933,32.37247965271508,34.2124269434375,32.05248762875,36.49155150921875,6626.307046875,6622.710093750001,6629.184609375,320.9375,318.96875,322.890625
0.15,70,64,40.67843594609375,38.39536417359375,43.04456363328125,0.0,0.0,0.0,1.57484375,1.55734375,1.59328125,-2.0,-2.0,-2.0,0.0,0.0,0.0,35.30499718195609,33.412743112286435,37.26609256625602,40.67843594609375,38.44648461046875,43.17079257625,6621.2713125,6616.95496875,6625.587656250001,327.515625,325.453125,329.53125
0.15,80,64,46.6104282246875,44.27123521234375,48.96556076578125,0.0,0.0,0.0,1.69,1.67046875,1.709375,-2.0,-2.0,-2.0,0.0,0.0,0.0,39.726338337402225,37.84328013268104,41.6871346282519,46.6104282246875,44.233453606875,49.038894805,6616.235578125001,6610.480453125,6621.990703125,332.53125,330.515625,334.671875
0.15,90,64,52.15537340109375,49.7696294321875,54.6338929275,0.0,0.0,0.0,1.7971875,1.77625,1.8178125,-2.0,-2.0,-2.0,0.0,0.0,0.0,43.683963524797434,41.79622070521408,45.54884728397779,52.15537340109375,49.946551334375,54.5361094471875,6609.041671875,6601.128375,6616.235578125001,337.265625,335.171875,339.359375
0.15,100,64,57.7199969690625,55.2676184215625,60.18484682484375,0.0,0.0,0.0,1.88625,1.86375,1.91,-2.0,-2.0,-2.0,0.0,0.0,0.0,47.7065935740216,45.73095982759113,49.68989297691793,57.7199969690625,55.3453615878125,60.32572067625,6592.495687500001,6582.42421875,6602.56715625,340.09375,337.90625,342.1875
0.15,110,64,62.97039200828125,60.608504385625,65.4346616078125,0.0,0.0,0.0,1.974375,1.9509375,1.9984375,-2.0,-2.0,-2.0,0.0,0.0,0.0,51.41613025174957,49.52639573841787,53.36019768424854,62.97039200828125,60.5488547771875,65.48873017671875,6580.266046875,6570.194578125001,6591.05690625,342.3125,340.4375,344.34375
0.15,120,64,68.14954567640625,65.60558596515625,70.54345201109375,0.0,0.0,0.0,2.058125,2.0324999999999998,2.0825,-2.0,-2.0,-2.0,0.0,0.0,0.0,55.13597727757125,53.256891166912276,57.19295240591093,68.14954567640625,65.52285866609375,70.85527530609374,6562.281281250001,6550.77103125,6573.79153125,343.109375,341.046875,345.1875
0.15,130,64,72.93959879109374,70.53895254843749,75.37047226765625,0.0,0.0,0.0,2.126875,2.10015625,2.1546875,-2.0,-2.0,-2.0,0.0,0.0,0.0,58.395130184268645,56.48632846515744,60.27763161311826,72.93959879109374,70.34145773296875,75.49895281046875,6545.735296875,6531.347484375,6557.9649375,343.859375,341.84375,345.90625
0.15,140,64,77.6990155753125,75.15074656234376,80.2854956134375,0.0,0.0,0.0,2.19578125,2.16875,2.22265625,-2.0,-2.0,-2.0,0.0,0.0,0.0,61.67575452778644,59.806326358632745,63.6166332905527,77.6990155753125,75.292881500625,80.30343917265625,6527.031140625,6513.36271875,6539.980171875,344.140625,341.96875,346.34375
0.15,150,64,82.48313991375,80.02821055140625,85.2460349509375,0.0,0.0,0.0,2.2517187499999998,2.22390625,2.2790624999999998,-2.0,-2.0,-2.0,0.0,0.0,0.0,65.04196912598476,63.12366355850887,67.00280863855482,82.48313991375,80.099888753125,85.3165724025,6506.1688125,6491.781,6521.276015625,343.21875,341.109375,345.328125
0.15,160,64,87.148949935,84.64594667578125,89.67893268125,0.0,0.0,0.0,2.29703125,2.26890625,2.32578125,-2.0,-2.0,-2.0,0.0,0.0,0.0,68.37668639152173,66.5089298719416,70.23435040943885,87.148949935,84.57772661640625,89.77036103578125,6487.46465625,6470.918671875,6503.29125,341.359375,339.34375,343.53125
0.15,170,64,91.34976113296875,88.68313399265625,93.93056993890625,0.0,0.0,0.0,2.341875,2.3159375,2.37,-2.0,-2.0,-2.0,0.0,0.0,0.0,71.19608226441783,69.17374692088661,73.20796767034187,91.34976113296875,88.636283449375,93.94272407078125,6461.56659375,6444.30121875,6479.551359375,339.265625,337.3125,341.203125
0.15,180,64,95.4292738028125,92.74240768765625,98.09565654265624,0.0,0.0,0.0,2.38421875,2.35734375,2.41171875,-2.0,-2.0,-2.0,0.0,0.0,0.0,73.93199016268012,71.91278489338589,76.01686312137633,95.4292738028125,92.669332604375,98.3087674775,6427.755234375,6409.77046875,6447.898171875,336.5625,334.578125,338.609375
0.15,190,64,99.66866608796875,97.16833439390625,102.30359404671874,0.0,0.0,0.0,2.41515625,2.38828125,2.44234375,-2.0,-2.0,-2.0,0.0,0.0,0.0,76.96025053248074,75.08383860170645,78.91445276284465,99.66866608796875,96.97753531234375,102.33150708234375,6401.13778125,6382.433625,6421.28071875,333.375,331.390625,335.375
