defect_density,replicas,initial_defects_mean,initial_defects_ci95_low,initial_defects_ci95_high,fresh_rate_mean,fresh_rate_ci95_low,fresh_rate_ci95_high,aged_rate_mean,aged_rate_ci95_low,aged_rate_ci95_high,drop_ratio_mean,drop_ratio_ci95_low,drop_ratio_ci95_high,geometric_normalized_drop_mean,geometric_normalized_drop_ci95_low,geometric_normalized_drop_ci95_high,bet_normalized_drop_mean,bet_normalized_drop_ci95_low,bet_normalized_drop_ci95_high,log10_drop_mean,log10_drop_ci95_low,log10_drop_ci95_high
0.05,64,7.640625,6.9375,8.3125,76.40625,69.53125,83.75,2.0796875,2.0375,2.11921875,36.36203185224206,33.42296579343531,39.282182940644375,35.52129550243783,32.50657420553579,38.47872965706823,42.877013256786434,39.18767545972077,46.70201469611934,1.5341199995656523,1.4950722243951005,1.5724065672563299
0.15,64,21.640625,20.5625,22.71875,216.40625,205.46875,226.5625,2.19578125,2.168125,2.2228125,98.68694380452214,93.75813178471421,103.66948367423115,97.18425964573788,92.05439103173147,102.41051116857749,117.8248299280089,111.86747674856305,123.91851211442312,1.9843089063285841,1.9598565695305432,2.0062014121830885
0.25,64,36.78125,35.453125,38.09375,367.8125,355.3125,381.09375,2.17484375,2.14453125,2.20421875,169.9333274510687,162.73264646103195,177.2666301752536,168.53757578485374,161.4592691492554,175.17658856113937,201.8552378681673,194.08122855417966,209.62363422069774,2.22406130206833,2.205161222055668,2.2419155029517883
0.5,64,71.484375,69.859375,73.0625,714.84375,699.53125,730.3125,1.97828125,1.954375,2.0034375,363.0583248369082,352.55105402482974,373.4104636685644,361.10438756173613,350.13104476978026,371.904624663973,415.84607402086885,405.41262355164116,426.8024297374786,2.5567339439727776,2.5437089367193337,2.5695384070967875
