scenario,species,rate_basis,status,mean_mol_m2_s,ci95_low_mol_m2_s,ci95_high_mol_m2_s,poisson_zero_upper_95_mol_m2_s,log10_mean_mol_m2_s
sioal-si-neutral__prefactor-x0.1,si,net,estimated,-2.4835311062861056e-10,-3.7045260578929297e-10,-1.2503145150957148e-10,undefined,undefined
sioal-si-neutral__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,6.028605760678197e-21,2.4212086914498264e-21,9.644408629269568e-21,undefined,-20.219783115796318
sioal-si-neutral__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485385255113815e-11,undefined
sioal-si-neutral__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-si-neutral__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
sioal-si-neutral__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.361317219046076e-11,undefined
sioal-si-neutral__prefactor-x10,si,net,estimated,-2.7561198256050556e-10,-4.5511844458802795e-10,-1.252125289255517e-10,undefined,undefined
sioal-si-neutral__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,7.71385390315695e-21,2.6915142562955024e-21,1.3302756596765116e-20,undefined,-20.112728590729713
sioal-si-neutral__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,9.361317219046076e-11,undefined
sioal-si-neutral__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-si-neutral__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401199515205e-11,undefined
sioal-al-neutral__ea-minus-3,si,net,estimated,-2.4835364771081167e-10,-3.6816813069129627e-10,-1.2594407856879205e-10,undefined,undefined
sioal-al-neutral__ea-minus-3,si,expected_gross_from_propensity,estimated-positive,6.028602675961514e-21,2.4222340255787064e-21,9.634971326344322e-21,undefined,-20.21978333801615
sioal-al-neutral__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401199515205e-11,undefined
sioal-al-neutral__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401100218109e-11,undefined
sioal-al-neutral__ea-plus-3,si,net,estimated,-2.48353645109556e-10,-3.694217749842941e-10,-1.2404394978338734e-10,undefined,undefined
sioal-al-neutral__ea-plus-3,si,expected_gross_from_propensity,estimated-positive,6.02860267417961e-21,2.447444981549043e-21,9.401571156849426e-21,undefined,-20.219783338144516
sioal-al-neutral__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401100218109e-11,undefined
sioal-al-neutral__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401100218109e-11,undefined
sioal-al-neutral__prefactor-x0.1,si,net,estimated,-2.48353645109556e-10,-3.696121418762283e-10,-1.2507567253506825e-10,undefined,undefined
sioal-al-neutral__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,6.02860267527535e-21,2.570919305763533e-21,9.376360201852255e-21,undefined,-20.219783338065582
sioal-al-neutral__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401100218109e-11,undefined
sioal-al-neutral__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401105269368e-11,undefined
sioal-al-neutral__prefactor-x10,si,net,estimated,-2.483536452359661e-10,-3.697314904272312e-10,-1.2730427433192164e-10,undefined,undefined
sioal-al-neutral__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,6.028602675791476e-21,2.6808451507754775e-21,9.467250912530912e-21,undefined,-20.2197833380284
sioal-al-neutral__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401105269368e-11,undefined
sioal-al-neutral__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
sioal-al-neutral__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__ea-minus-3,si,net,estimated,-2.4835364510241016e-10,-3.686056297304686e-10,-1.273042743170919e-10,undefined,undefined
connectivity-ladder__ea-minus-3,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-21,2.5578004131002484e-21,9.565514282481595e-21,undefined,-20.21978333801564
connectivity-ladder__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__ea-plus-3,si,net,estimated,-2.4835364510241016e-10,-3.6849660117032886e-10,-1.257349512561041e-10,undefined,undefined
connectivity-ladder__ea-plus-3,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-21,2.4212071941923414e-21,9.634971326378795e-21,undefined,-20.21978333801564
connectivity-ladder__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__prefactor-x0.1,si,net,estimated,-2.4835364510241016e-10,-3.6900948270232804e-10,-1.2522642982288144e-10,undefined,undefined
connectivity-ladder__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-21,2.5578004131002484e-21,9.596905606565038e-21,undefined,-20.21978333801564
connectivity-ladder__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__prefactor-x10,si,net,estimated,-2.4835364510241016e-10,-3.692126489959995e-10,-1.2507567253506825e-10,undefined,undefined
connectivity-ladder__prefactor-x10,si,expected_gross_from_propensity,estimated-positive,6.028602675968598e-21,2.422234025558401e-21,9.540394286173119e-21,undefined,-20.21978333801564
connectivity-ladder__prefactor-x10,al,gross,zero-upper-bound,0.0,0.0,0.0,9.485401099952256e-11,undefined
connectivity-ladder__prefactor-x10,al,net,estimated,0.0,0.0,0.0,undefined,undefined
connectivity-ladder__prefactor-x10,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-minus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,1.56958316399974e-08,undefined
al-o-al-analogue__ea-minus-3,si,net,estimated,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-minus-3,si,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-minus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,1.56958316399974e-08,undefined
al-o-al-analogue__ea-minus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-minus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-plus-3,si,gross,zero-upper-bound,0.0,0.0,0.0,6.386126560837734e-13,undefined
al-o-al-analogue__ea-plus-3,si,net,estimated,-1.5323554977069154e-12,-2.4032414182488893e-12,-6.085768627803985e-13,undefined,undefined
al-o-al-analogue__ea-plus-3,si,expected_gross_from_propensity,estimated-positive,7.037296775139316e-16,4.762618205975807e-16,9.7232241793595e-16,undefined,-15.152594133626915
al-o-al-analogue__ea-plus-3,al,gross,zero-upper-bound,0.0,0.0,0.0,6.386126560837734e-13,undefined
al-o-al-analogue__ea-plus-3,al,net,estimated,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__ea-plus-3,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__prefactor-x0.1,si,gross,zero-upper-bound,0.0,0.0,0.0,6.602108092009555e-12,undefined
al-o-al-analogue__prefactor-x0.1,si,net,estimated,-1.9642759903743068e-10,-2.356140272871662e-10,-1.6405253728578082e-10,undefined,undefined
al-o-al-analogue__prefactor-x0.1,si,expected_gross_from_propensity,estimated-positive,3.349306906807169e-16,2.383145695298139e-16,4.3156468823377726e-16,undefined,-15.475045054960628
al-o-al-analogue__prefactor-x0.1,al,gross,zero-upper-bound,0.0,0.0,0.0,6.602108092009555e-12,undefined
al-o-al-analogue__prefactor-x0.1,al,net,estimated,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__prefactor-x0.1,al,expected_gross_from_propensity,censored-nonpositive-propensity,0.0,0.0,0.0,undefined,undefined
al-o-al-analogue__prefactor-x10,si,gross,zero-upper-bound,0.0,0.0,0.0,9.87339425773183e-10,undefined
