scenario,replica,seed,window_start_step,window_end_step,window_start_time_s,window_end_time_s,area_time_a2_s,lattice_si_release_events,gross_si_events,adsorb_si_events,net_si_events,lattice_al_release_events,gross_al_events,adsorb_al_events,net_al_events,lattice_si_release_flux_mol_m2_s,lattice_al_release_flux_mol_m2_s,expected_lattice_origin_si_flux_from_propensity_mol_m2_s,expected_lattice_origin_al_flux_from_propensity_mol_m2_s,lattice_si_upper_95_mol_m2_s,lattice_al_upper_95_mol_m2_s,si_al_lattice_release_ratio_dimensionless,propensity_origin_status,steady_state_status,acceptance_passed,log10_lattice_si_release_flux_mol_m2_s,log10_lattice_al_release_flux_mol_m2_s,log10_expected_lattice_origin_si_flux_from_propensity_mol_m2_s,log10_expected_lattice_origin_al_flux_from_propensity_mol_m2_s
siloxane-neutral__ea-plus-3,5,90419,40000,200000,2864.945762,14371.45716,8456687.769067533,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882362706147825e-11,5.882362706147825e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__ea-plus-3,6,90421,40000,200000,2881.341102,14373.34038,8446022.11520753,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889790965705635e-11,5.889790965705635e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__ea-plus-3,7,90427,40000,200000,2880.454965,14369.58359,8443912.334469073,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891262578275825e-11,5.891262578275825e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,0,90401,40000,200000,2858.237581,14347.00345,8443645.72766513,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891448593977792e-11,5.891448593977792e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,1,90403,40000,200000,2863.555302,14354.845,8445500.610791499,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890154656638792e-11,5.890154656638792e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,2,90407,40000,200000,2855.877686,14320.7349,8426074.109012017,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903734539563895e-11,5.903734539563895e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,3,90409,40000,200000,2892.080017,14454.39385,8497699.658181962,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.853973045799792e-11,5.853973045799792e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,4,90413,40000,200000,2876.367067,14316.31588,8407767.7290157,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.916588844221438e-11,5.916588844221438e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,5,90419,40000,200000,2864.945532,14371.456,8456687.085565874,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882363181582784e-11,5.882363181582784e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,6,90421,40000,200000,2881.340869,14373.33922,8446021.433910714,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889791440804575e-11,5.889791440804575e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x0.1,7,90427,40000,200000,2880.454732,14369.58243,8443911.653172258,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.891263053612208e-11,5.891263053612208e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,0,90401,40000,200000,2858.21324,14336.11624,8435662.08360206,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.897024354140307e-11,5.897024354140307e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,1,90403,40000,200000,2863.530915,14354.72274,8445428.679223936,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.890204824377309e-11,5.890204824377309e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,2,90407,40000,200000,2855.853362,14320.61293,8426002.344277656,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.903784822001954e-11,5.903784822001954e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,3,90409,40000,200000,2892.05538,14454.27073,8497627.278296107,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.854022907942126e-11,5.854022907942126e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,4,90413,40000,200000,2876.342571,14369.56836,8446923.537038486,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.889162430815627e-11,5.889162430815627e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
siloxane-neutral__prefactor-x10,5,90419,40000,200000,2864.921131,14371.33359,8456615.054045381,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.882413286212278e-11,5.882413286212278e-11,undefined,origin-safe,steady-zero,True,undefined,undefined,undefined,undefined
