step,time,terrace,defect,empty,total_rate,spectrum_mean,spectrum_log10_std,geometric_area,bet_proxy,exposed_sites,mean_exposure_age,p95_exposure_age
430.0,203.7184908,146.0,0.0,430.0,1.45,0.01,0.0,4604.1,146.0,146.0,169.90528440623288,203.7184908
440.0,209.8634368,136.0,0.0,440.0,1.35,0.01,0.0,4419.936,136.0,136.0,175.83353537808824,209.8634368
450.0,216.3874246,126.0,0.0,450.0,1.25,0.01,0.0,4189.731,126.0,126.0,180.90407747166668,216.3874246
460.0,221.6779952,116.0,0.0,460.0,1.15,0.010000000000000002,0.0,3959.526,116.0,116.0,188.4832709976724,221.6779952
470.0,234.2585962,106.0,0.0,470.0,1.05,0.01,0.0,3637.239,106.0,106.0,201.3747485735849,234.2585962
480.0,247.4942072,96.0,0.0,480.0,0.95,0.01,0.0,3314.952,96.0,96.0,212.8360984403125,247.4942072
490.0,264.5902684,86.0,0.0,490.0,0.85,0.01,0.0,2946.624,86.0,86.0,230.35651649593024,264.5902684
500.0,276.7779432,76.0,0.0,500.0,0.76,0.01,0.0,2900.583,76.0,76.0,243.11205892671052,276.7779432
510.0,295.5461721,66.0,0.0,510.0,0.66,0.01,0.0,2578.296,66.0,66.0,260.1950783651515,295.5461721
520.0,315.0507491,56.0,0.0,520.0,0.56,0.01,0.0,2256.009,56.0,56.0,281.70455896607143,315.0507491
530.0,322.5107976,46.0,0.0,530.0,0.46,0.01,0.0,1933.722,46.0,46.0,289.3928563434783,322.5107976
540.0,340.1689889,36.0,0.0,540.0,0.36,0.01,0.0,1565.394,36.0,36.0,307.3570932555556,340.1689889
550.0,387.6108434,26.0,0.0,550.0,0.26,0.01,0.0,1104.984,26.0,26.0,342.65200492307696,387.6108434
560.0,441.1167128,16.0,0.0,560.0,0.16,0.01,0.0,736.656,16.0,16.0,400.4232149375,441.1167128
570.0,495.272287,6.0,0.0,570.0,0.06,0.01,0.0,276.246,6.0,6.0,448.2030292333333,495.272287
576.0,784.0523164,0.0,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
